"78",0,0,3,0,0,6,0,0,2,0,1,0,0,2,2,0,1,2,0,1,0,2,0,0,NA,0,0,0,0,3,0,2,0,0,1,0,2,1,1,0,0,0,3,0,0,2,2,4
"80",0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"82",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"85",0,0,0,0,1,1,0,0,0,3,3,3,1,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2
"86",0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0
"92",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
"98",1,0,1,0,6,0,0,0,0,0,1,0,0,2,0,1,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,2,NA,0,0,5,0,0,0,0,1,1,0,0,0,0,1,2
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"107",0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,3,1,0,0,0,0
"114",0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,2,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,NA,3,1,0,0,0,2,0,3,0,0,0,3
"122",1,1,7,0,1,0,0,0,0,2,0,6,0,0,0,2,3,2,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,NA,1,0,1,0,2,0,1,0,3,1,3
"126",0,2,2,0,0,3,0,0,0,0,0,0,0,1,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,NA,1,0,3,0,0,0,0,0,0,5
"127",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"150",0,0,2,0,0,2,0,1,0,0,0,0,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,NA,0,0,1,0,0,0,0
