"gameId","gameLength","queue","map","season","version","mode","type"
3224377559,"1780","430","11","11","8.11.231.7304","CLASSIC","MATCHED_GAME"
3214874845,"1583","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3150518497,"1015","420","11","11","8.5.220.3006","CLASSIC","MATCHED_GAME"
3218086114,"1812","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3213629671,"917","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3224770798,"1214","420","11","11","8.11.231.7304","CLASSIC","MATCHED_GAME"
3215628528,"1364","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3217103090,"1364","450","12","11","8.10.229.7328","ARAM","MATCHED_GAME"
3217758458,"1930","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3191412987,"1446","420","11","11","8.9.227.7511","CLASSIC","MATCHED_GAME"
3211630844,"1474","450","12","11","8.10.229.7328","ARAM","MATCHED_GAME"
3158710522,"962","420","11","11","8.6.222.2149","CLASSIC","MATCHED_GAME"
3175848189,"1744","420","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3223361788,"1432","450","12","11","8.11.231.7304","ARAM","MATCHED_GAME"
3178273032,"2245","420","11","11","8.8.225.6906","CLASSIC","MATCHED_GAME"
3183155467,"953","420","11","11","8.8.225.6906","CLASSIC","MATCHED_GAME"
3194919179,"1860","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3215857932,"1459","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3215137044,"1477","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3202488597,"1553","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3211303191,"1839","430","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3221985569,"1173","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3152681250,"1728","430","11","11","8.6.222.2149","CLASSIC","MATCHED_GAME"
3208419622,"954","450","12","11","8.10.229.7328","ARAM","MATCHED_GAME"
3222018346,"1133","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3184630060,"1473","420","11","11","8.8.226.7254","CLASSIC","MATCHED_GAME"
3197835565,"1427","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3224246579,"1130","420","11","11","8.11.231.7304","CLASSIC","MATCHED_GAME"
3217266996,"1691","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3167164727,"1484","420","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3207108921,"950","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3223263547,"1997","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3158087996,"1156","420","11","11","8.6.222.2149","CLASSIC","MATCHED_GAME"
3222542651,"2192","440","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3199473981,"2014","420","11","11","8.9.228.4283","CLASSIC","MATCHED_GAME"
3221821756,"1344","420","11","11","8.10.229.7328","CLASSIC","MATCHED_GAME"
3173882171,"964","420","11","11","8.7.223.9264","CLASSIC","MATCHED_GAME"
3160807745,"1377","420","11","11","8.6.222.2149","CLASSIC","MATCHED_GAME"
