result,c1,c2,c3,c4,c5
Win,Karma,Camille,Kai'Sa,Darius,Tahm Kench
Win,Garen,Bard,Lux,Xerath,Xayah
Win,Lux,Lulu,Lee Sin,Olaf,Karma
Win,Evelynn,Ezreal,Lissandra,Jax,Xin Zhao
Win,Ezreal,Aurelion Sol,Alistar,Aatrox,Xin Zhao
Win,Fiora,Xayah,Bard,Xin Zhao,Zoe
Win,Pyke,Camille,Ornn,Aurelion Sol,Jax
Win,Tristana,Cassiopeia,Janna,Camille,Jax
Win,Morgana,Graves,Jhin,Vladimir,Jarvan IV
Win,Brand,Ashe,Gragas,Garen,Jarvan IV
Win,Gragas,Jhin,Karma,Gangplank,Taliyah
Win,Pyke,Kassadin,Cassiopeia,Ezreal,Taliyah
Win,Xayah,Talon,Rakan,Camille,Jayce
Win,Poppy,Rakan,Kai'Sa,Trundle,Jayce
Win,Jhin,Rakan,Trundle,Singed,Talon
Win,Vladimir,Braum,Xin Zhao,Draven,Talon
Win,LeBlanc,Nunu,Xayah,Camille,Braum
Win,Vladimir,Yasuo,Morgana,Graves,Swain
Win,Rammus,Xin Zhao,Ezreal,Irelia,Xin Zhao
Win,Rakan,Vladimir,Xayah,Zoe,Xin Zhao
Win,Ezreal,Kha'Zix,Gnar,Ryze,Singed
Win,Kha'Zix,Yasuo,Alistar,Ezreal,Singed
Win,Camille,Jhin,Pantheon,Talon,Lissandra
Win,Kog'Maw,Poppy,Irelia,Corki,Xin Zhao
Win,Urgot,Morgana,Cassiopeia,Ezreal,Xin Zhao
Win,LeBlanc,Morgana,Xin Zhao,Caitlyn,Thresh
Win,Kai'Sa,Xin Zhao,Talon,Wukong,Thresh
Win,Shen,Trundle,Zoe,Rakan,Janna
Win,Graves,Dr. Mundo,Kai'Sa,Swain,Janna
Win,Nunu,Lucian,Kai'Sa,Nautilus,Ryze
Win,Lulu,Taliyah,Nidalee,Kai'Sa,Ryze
Win,Ezreal,Braum,Taric,Master Yi,Camille
Win,Lulu,Pyke,Dr. Mundo,Ezreal,Camille
Win,Lucian,Twisted Fate,Lulu,Camille,Lulu
Win,Kog'Maw,Rakan,Tryndamere,Trundle,Lulu
Win,Lee Sin,Karma,Aurelion Sol,Caitlyn,Lissandra
Win,Renekton,Nunu,Nautilus,Mordekaiser,Lissandra
Win,Lee Sin,Vladimir,Morgana,Ezreal,Zoe
Win,Xin Zhao,Kai'Sa,Renekton,Soraka,Yasuo
Win,Fiora,Elise,Jhin,Soraka,Yasuo
Win,Zoe,Lee Sin,Karma,Jhin,Veigar
Win,Leona,Sivir,Brand,Jinx,Ezreal
Win,Graves,Twisted Fate,Camille,Rakan,Soraka
Win,Illaoi,Ezreal,Ryze,Kha'Zix,Soraka
Win,Alistar,Twitch,Xayah,Dr. Mundo,Aurelion Sol
Win,Kai'Sa,Karma,Taliyah,Skarner,Xin Zhao
Win,Olaf,Twisted Fate,Karma,Ezreal,Cho'Gath
Win,Mordekaiser,Vayne,Aurelion Sol,Blitzcrank,Nami
Win,Ezreal,Singed,Ryze,Lee Sin,Vladimir
Win,Lulu,Taliyah,Lucian,Janna,Tahm Kench
Win,Jhin,Xin Zhao,Irelia,Jax,Fiddlesticks
Win,Kennen,Twisted Fate,Gnar,Nidalee,Fiddlesticks
Win,Darius,Zoe,LeBlanc,Ashe,Anivia
Win,Leona,Vladimir,Kai'Sa,Trundle,Yasuo
Win,Nami,Kai'Sa,Irelia,LeBlanc,Jax
Win,Dr. Mundo,Karma,Kai'Sa,Galio,Caitlyn
Win,Irelia,Darius,Master Yi,Alistar,Caitlyn
Win,Vladimir,Rek'Sai,Karma,Zilean,Ezreal
Win,Ezreal,Nocturne,Alistar,Gangplank,Kai'Sa
Win,Yasuo,Morgana,Jax,Xin Zhao,Kai'Sa
Win,Janna,Ezreal,Jax,Malzahar,Vladimir
Win,Ezreal,Karma,Renekton,Nocturne,Irelia
Win,Braum,Ezreal,Mordekaiser,Nidalee,Irelia
Win,Ezreal,Swain,Nidalee,Camille,Karma
Win,Xin Zhao,Rakan,Talon,Jax,Irelia
Win,Xin Zhao,Poppy,Tahm Kench,Jhin,Taliyah
Win,Blitzcrank,Janna,Twitch,Nautilus,Ezreal
Win,Zyra,Dr. Mundo,Aurelion Sol,Kha'Zix,Ezreal
Win,Taliyah,Jinx,Fizz,Annie,Aatrox
Win,Yasuo,Xin Zhao,Jhin,Thresh,Malphite
Win,Vayne,Yasuo,Lulu,Fiddlesticks,Olaf
Win,Karma,Ezreal,Nidalee,Malzahar,Rakan
Win,Kai'Sa,Rengar,Nidalee,Yasuo,Soraka
Win,Ryze,Graves,Draven,Gangplank,Soraka
Win,Xayah,Sion,Evelynn,Zed,Yasuo
Win,Trundle,Riven,Thresh,Caitlyn,Caitlyn
Win,Camille,Karthus,Nidalee,Morgana,Irelia
Win,Morgana,Varus,Twisted Fate,Xin Zhao,Irelia
Win,Ezreal,Master Yi,Elise,Jinx,Darius
Win,Zilean,Camille,Vayne,Thresh,Darius
Win,Kog'Maw,Syndra,Kha'Zix,Trundle,Pyke
Win,Anivia,Kai'Sa,Irelia,Lee Sin,Kha'Zix
Win,Irelia,Alistar,Lucian,Renekton,Kha'Zix
