"1410285",4,3,0,1,0,1,2,2,2,NA,1,3,3,7,7,2,1,2,3,5,0,1,4,1,2,7,7,1,7,4,0,3,1,7,3,7,1,1,6,5,3,0,0,8,4,0,2,0,3,3,4,1,3,3,2,0,3,1,3,2,1,2,2,1,1,2,5,1,4,2,7,1,0,4,0,5,1,1,0,0,1,0,0,1,2,2,6,6,3,0,3,1,0,3,6,2,0,2,0,2,0,5,2,0,0,1,1,4,1,0,1,1,0,5,3,0,0,1,1,2,4,0,2,0,1,3,1,3,0,1,2,0,10,1,3,6,1,3,2,3,4,0,0,1,3,1,5,1,3,2,3,0,2,1,5,6,2,3,3,4,3,2,4,0,2,1,1,4,1,1,0,6,5,0,2,0,1,5,2,4,2,0,1,2,3,3,3,0,0,5,4,0,1,0,2,0,0
"1646013",0,0,1,0,0,2,0,0,6,1,NA,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,4,2,0,3,0,1,1,3,0,2,0,0,5,0,0,0,0,1,0,0,1,1,2,3,1,1,0,2,0,0,0,0,0,3,2,1,0,0,0,1,1,0,1,0,6,4,0,4,0,0,0,0,1,0,0,2,0,2,1,0,3,1,1,0,4,2,1,1,0,1,2,1,0,0,1,2,1,0,0,0,1,1,1,0,2,0,1,0,0,1,0,1,1,0,2,0,2,1,1,0,1,2,0,2,0,0,0,1,1,2,5,2,0,0,2,1,3,1,4,0,0,2,2,0,2,0,1,0,1,2,0,0,1,0,1,1,0,0,2,1,1,2,0,0,0,2,1,0,2,0,0,1,0,1,0,0,0,0,2,3,2,2,0,0,1,0,0,1,0,1,0
"1785347",3,0,1,1,0,1,4,0,0,3,0,NA,1,2,6,4,2,0,2,0,0,0,0,0,2,2,3,0,0,1,1,2,0,2,1,6,0,0,4,0,7,7,0,0,1,0,0,0,6,3,0,2,1,1,3,0,4,1,2,1,0,2,0,1,1,0,8,0,1,0,0,1,0,2,0,2,9,0,0,0,0,0,1,1,1,0,1,2,5,0,2,1,0,0,4,0,0,0,1,3,2,1,0,2,1,3,2,2,1,0,2,1,0,0,4,0,0,1,3,3,2,0,1,0,1,0,1,0,0,3,3,0,0,1,0,7,1,1,3,0,1,0,0,2,1,1,2,0,1,1,2,1,2,4,1,5,4,3,0,1,0,2,2,1,4,0,0,0,0,0,3,1,3,3,2,0,1,0,3,1,0,1,3,1,0,4,3,0,5,1,3,1,2,5,0,1,0
"1890305",3,3,3,2,3,2,5,6,6,3,2,1,NA,6,3,2,3,1,5,0,4,0,3,4,5,8,14,5,4,4,6,4,2,11,2,2,1,2,7,9,3,6,2,9,3,0,4,5,9,3,6,4,4,10,8,3,6,1,2,3,0,8,3,0,4,2,4,0,3,4,3,4,4,5,5,2,4,4,0,3,4,3,4,7,5,5,9,13,6,3,7,9,4,2,1,5,2,1,14,0,8,2,3,2,5,8,1,14,2,2,1,0,7,4,6,4,0,5,7,1,9,1,3,1,4,3,3,1,6,2,3,2,8,6,2,7,9,4,9,1,1,2,10,2,2,2,2,3,8,10,6,3,3,1,3,6,1,10,2,2,7,3,6,1,8,2,7,2,1,1,0,5,4,4,5,4,3,5,3,6,7,2,4,7,3,3,8,1,5,5,3,4,2,7,0,2,0
"2099284",3,1,1,0,2,0,1,6,12,7,2,2,6,NA,1,1,0,2,1,3,2,0,6,3,1,6,3,0,4,10,0,1,2,3,5,4,2,4,3,1,2,3,0,2,2,2,1,3,4,0,0,1,1,5,0,1,0,1,2,1,0,2,5,1,0,1,4,0,4,2,2,3,0,5,2,3,3,1,2,3,6,1,2,7,3,0,1,3,1,0,9,3,1,4,1,1,2,6,3,4,2,1,0,2,0,4,3,7,2,0,1,2,5,2,2,5,0,1,4,2,4,2,6,0,2,4,0,1,1,2,0,0,3,5,1,5,3,1,1,1,4,3,4,1,3,3,1,3,7,2,2,3,2,3,2,2,1,2,1,1,3,4,6,1,5,1,0,2,1,0,1,2,5,3,6,2,8,3,2,7,3,2,2,5,5,1,1,0,5,2,0,0,1,4,2,6,1
"2335652",3,3,3,2,8,1,2,8,4,7,0,6,3,1,NA,4,1,2,7,3,1,0,1,4,5,7,6,2,4,0,4,2,0,5,2,5,2,4,2,6,5,1,0,1,3,1,0,3,9,6,5,1,0,2,0,0,5,1,1,2,2,1,1,2,0,1,2,1,8,0,4,0,3,4,2,3,0,0,2,0,0,3,3,1,8,3,5,8,3,2,2,4,0,2,3,2,2,1,4,3,2,3,3,3,1,4,2,3,1,0,1,3,4,1,4,4,1,3,3,4,7,0,6,0,7,6,0,3,1,0,4,1,12,2,7,4,1,1,1,3,1,3,10,7,3,2,1,1,2,2,4,4,3,5,2,6,3,6,2,2,2,3,9,2,8,6,0,2,1,4,1,1,4,4,3,3,4,4,2,2,1,1,0,1,4,4,8,3,2,0,3,2,1,2,0,5,5
"2373709",3,0,3,2,0,1,1,2,0,2,0,4,2,1,4,NA,0,0,3,2,0,0,2,4,1,6,3,2,1,1,1,0,1,3,1,2,0,4,2,0,6,3,0,2,1,2,0,0,3,0,1,0,0,1,1,0,1,0,0,3,4,0,0,1,1,1,3,0,1,2,1,0,2,0,0,4,5,1,0,0,2,0,2,1,1,1,2,4,3,0,4,1,0,0,1,1,0,1,0,1,1,2,0,2,3,21,6,1,1,0,1,2,3,0,4,1,0,2,1,1,1,1,1,1,2,2,1,2,1,0,1,0,7,1,1,1,1,0,4,0,2,2,2,1,2,0,0,1,1,1,3,0,1,0,1,4,2,1,1,0,0,4,3,2,2,0,0,0,1,1,0,0,3,0,2,2,0,1,3,2,0,1,1,1,1,3,0,0,0,2,1,2,2,6,0,3,1
"2474930",2,0,0,1,0,1,2,0,1,1,0,2,3,0,1,0,NA,0,1,0,0,0,0,0,0,2,4,1,1,0,1,2,0,0,1,1,2,0,4,0,0,3,0,0,0,0,2,4,3,1,2,0,1,3,0,0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,2,1,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,2,3,1,1,0,2,1,0,0,0,5,0,0,1,0,2,2,0,2,0,0,0,2,1,0,0,1,2,0,1,0,1,1,1,1,2,0,0,0,0,1,0,1,3,2,0,1,1,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,2,3,0,0,0
"2525174",3,0,1,1,0,1,0,2,2,2,0,0,1,2,2,0,0,NA,0,0,0,0,1,0,1,1,3,0,0,0,3,1,0,3,3,3,0,0,3,0,2,0,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,1,1,2,4,0,2,0,4,10,0,0,4,0,1,1,1,1,0,0,0,0,4,2,2,2,1,3,0,0,1,0,5,0,0,0,1,0,0,1,0,2,3,3,2,0,0,4,2,0,0,0,3,3,1,4,1,0,0,0,0,0,3,2,0,0,1,6,5,0,2,2,0,1,1,0,2,0,0,3,0,0,0,0,0,1,1,2,2,0,1,0,0,0,1,0,2,0,1,3,1,1,0,0,0,1,0,3,0,2,0,0,2,1,3,1,4,2,2,5,1,0,3,1,5,1,1,1,1,0,0,0
"2713769",3,2,2,1,2,0,0,5,3,3,0,2,5,1,7,3,1,0,NA,2,1,0,2,3,1,5,6,1,2,2,2,1,0,3,0,3,3,3,4,2,4,4,0,1,0,0,0,1,9,5,0,2,2,3,1,1,0,1,1,1,1,2,0,0,0,0,3,2,0,1,2,1,2,2,0,0,4,1,2,1,3,0,1,1,1,1,4,2,4,2,1,1,1,3,1,2,1,2,0,0,1,2,1,3,1,3,0,1,1,0,2,3,4,0,3,4,0,1,4,1,6,0,1,0,3,3,0,2,3,1,1,3,3,0,2,2,2,0,1,0,2,2,2,0,1,1,1,1,2,2,4,4,2,1,1,3,2,3,0,3,0,2,3,1,1,0,2,0,0,3,1,4,3,2,2,1,2,0,5,1,0,2,4,1,0,6,2,1,3,3,3,2,2,0,2,2,0
