name,ranking,tier,LP,level,win,lose,winratio
Buterfly,38,Challenger,778,90,417,351,54%
SKT T1 Le0,39,Challenger,765,120,525,466,53%
³­ Áú¼ö¾ø´Ù,40,Challenger,764,73,190,125,60%
Be proud of me,41,Challenger,740,119,476,412,54%
lazy son,42,Challenger,754,44,119,73,62%
Tarzan fan,43,Challenger,749,72,267,205,57%
Ä® Ã¢ ¹æÆÐ,44,Challenger,747,119,544,468,54%
jiang you ping ,45,Challenger,731,59,294,182,62%
À¸¶ó¾Æ¾ÆÂ÷Â÷,46,Challenger,730,101,610,553,52%
»Ç¿À»Ç¿À,47,Challenger,706,53,150,93,62%
¸í±¸¸®¹öµå,48,Challenger,725,119,446,392,53%
DDDasher,49,Challenger,720,109,379,319,54%
dubi ad ,50,Challenger,718,93,566,473,54%
³Ê¿Í³ªÀÇ¿¬°áGori,51,Challenger,708,116,301,238,56%
GabrielCRO,52,Challenger,707,139,712,624,53%
±¸¸¶À¯½Ã,53,Challenger,722,198,973,920,51%
Billys,54,Challenger,705,117,569,499,53%
baby hang,55,Challenger,704,123,608,542,53%
FW SwordArT,56,Challenger,703,119,464,404,53%
¼öÀÔ»Ñµå,57,Challenger,697,123,605,552,52%
¶§¸°°÷¶Ç¶§¸²,58,Challenger,697,108,375,307,55%
ÇÑ°Ü·¹¾î¸°ÀÌ,59,Challenger,697,75,335,281,54%
¹«¸­À» ¶Ç ²Ý¾ú³×,60,Challenger,696,140,904,863,51%
´Ü±ºÀÇÃ»ÃáºÎÀç,61,Challenger,691,98,327,272,55%
KT Kingen,62,Challenger,687,71,335,261,56%
La nuit tombe,63,Challenger,669,84,361,304,54%
½´·¼¸®¾ÆÀÇ»çÁ¤,64,Challenger,668,87,360,303,54%
daydayupup,65,Challenger,664,130,681,632,52%
Trud,66,Challenger,663,46,155,73,68%
love jiaobao,67,Challenger,659,129,835,743,53%
IruguN,68,Challenger,658,96,375,316,54%
´ÙÇ¥À½½ÄÀº³Ê¾ß,69,Challenger,656,187,1061,999,52%
lookatmy,70,Challenger,614,63,183,121,60%
aoligei,71,Challenger,649,124,544,490,53%
Martyrs,72,Challenger,665,70,422,350,55%
yiwancibeishang,73,Challenger,662,193,886,832,52%
SD°Ç´ãÄ¸½¶ÆÄÀÌ,74,Challenger,624,89,208,157,57%
¼ºº¸°í ±ÇÈñ¿ø,75,Challenger,640,163,884,830,52%
³ª´Â°¡ÇØÀÚ´Ù,76,Challenger,632,80,324,264,55%
±Í¿©¿î¾ÈÁö¿µ,77,Challenger,629,67,233,181,56%
oy oy oy,78,Challenger,628,150,899,850,51%
See u AG,79,Challenger,645,69,219,151,59%
µ¹ÀÜÄ¡¶§µµ¶õÀâÀ½,80,Challenger,621,190,929,874,52%
Morgan5358,81,Challenger,612,111,608,547,53%
Levellup,82,Challenger,608,102,399,341,54%
±¸¸°³»°¡½ÉÇÏ±¸³ª,83,Challenger,569,163,993,900,52%
jungsanghyun1,84,Challenger,602,132,548,492,53%
jin can yi,85,Challenger,602,99,427,377,53%
Nu99et,86,Challenger,599,111,481,426,53%
 hf ghkyu,87,Challenger,578,77,322,250,56%
¾Æ¶ó°¡Å° À¯ÀÌ,88,Challenger,597,80,257,203,56%
KT DEFT,89,Challenger,597,57,180,120,60%
´ã¿ø ¼î¸ÞÀÌÄ¿,90,Challenger,595,91,335,273,55%
ÀÌµµ·ù,91,Challenger,594,117,424,376,53%
Jin Air SoHwan,92,Challenger,590,181,880,817,52%
KZ Khan,93,Challenger,586,115,430,382,53%
aceerfa,94,Challenger,585,89,350,298,54%
bbq Ccrazy,95,Challenger,583,102,366,311,54%
¶§¸°´ë¶Ç¶§¸²,96,Challenger,581,75,308,251,55%
KDM LuBu,97,Challenger,580,130,424,370,53%
Å°³×Ä«,98,Challenger,579,66,134,48,74%
Ç×»ó ÀßÇØÁÙ°Ô,99,Challenger,575,111,485,423,53%
ÇÃ¸®¸®,100,Challenger,578,89,345,283,55%
ÀßÇÒ¼öÀÖ¾îÈû³»ÀÚ,101,Challenger,578,69,274,202,58%
¸¶»ê°¡ÀÚ,102,Challenger,572,127,531,487,52%
»ç ¿ë ¼ö,103,Challenger,569,151,781,726,52%
The Encounter,104,Challenger,569,122,665,604,52%
1ynaux9,105,Challenger,569,105,490,427,53%
½É½ÉÇ®ÀÌ ³²½Å,106,Challenger,567,148,660,600,52%
NekoL,107,Challenger,563,114,452,377,55%
Lehends,108,Challenger,563,98,442,368,55%
KZ GorillA,109,Challenger,554,110,371,330,53%
Mark Time,110,Challenger,556,71,267,184,59%
Gen G Ruler,111,Challenger,553,141,611,544,53%
2µ¥½º¹Ì¸¸,112,Challenger,551,58,179,121,60%
Apk TolanD,113,Challenger,585,111,634,538,54%
liillili,114,Challenger,565,133,723,669,52%
FW MMD1,115,Challenger,546,68,266,213,56%
¾ÆÀÌ·¯´Ï,116,Challenger,545,84,292,240,55%
wyt0111,117,Challenger,544,95,413,360,53%
4seidon,118,Challenger,543,85,420,347,55%
ÅÆ ÅÆ ÅÆ ÅÆ ÅÆ,119,Challenger,542,108,519,463,53%
Jin Air Nova,120,Challenger,542,90,234,176,57%
³ëÆ¿Á¦¹ß¹öÇÁÁ»,121,Challenger,540,83,228,151,60%
16»ì ¿øµô·¯,122,Challenger,536,138,767,685,53%
Wmir,123,Challenger,536,74,287,218,57%
Curious PoP,124,Challenger,507,103,309,252,55%
Â«»ÍÂ¥ÀåÅÁ¼öÀ°,125,Challenger,534,60,251,178,59%
APK Cover,126,Challenger,531,69,254,171,60%
ÄªÂùÀºÇ×»óÂ¥¸´ÇØ,127,Challenger,552,123,586,519,53%
Shtu mid,128,Challenger,527,114,734,640,53%
