name,champ,cs,kda,kill,death,assist,winratio,play
KZCuzz,Nidalee,CS 167.8 (6.8),3.69:1,7.1,4.1,7.8,61%,88
KZCuzz,Kha'Zix,CS 155.6 (5.7),2.90:1,7.4,4.3,5.1,65%,77
KZCuzz,Zac,CS 127.1 (5.0),4.18:1,3.6,3.4,10.6,59%,69
KZCuzz,Skarner,CS 141.3 (5.5),3.27:1,3.1,3.7,9.0,56%,62
KZCuzz,Taliyah,CS 148.8 (6.0),3.49:1,7.7,4.8,9.1,65%,52
KZCuzz,Graves,CS 166.2 (6.7),2.94:1,6.2,4.7,7.6,55%,49
거대현,Fiora,CS 182.1 (8.1),2.10:1,5.3,4.1,3.4,65%,125
거대현,Camille,CS 158.4 (7.1),2.62:1,5.4,3.9,4.8,62%,92
거대현,Singed,CS 150.5 (6.8),2.09:1,3.7,5.2,7.1,54%,54
거대현,Jax,CS 175.2 (7.5),2.16:1,5.9,4.7,4.2,58%,53
거대현,Aatrox,CS 189.3 (8.4),2.52:1,5.7,4.2,4.8,66%,44
거대현,Dr. Mundo,CS 160.5 (6.8),2.18:1,3.9,4.5,5.8,55%,20
거대현,Vladimir,CS 195.0 (7.5),2.08:1,3.2,4.5,6.1,37%,19
EEWSSUN,Anivia,CS 190.0 (8.0),3.08:1,4.8,3.8,7.0,58%,65
EEWSSUN,Taliyah,CS 210.1 (8.0),3.06:1,7.8,5.3,8.6,66%,64
EEWSSUN,Zoe,CS 162.5 (6.3),2.18:1,6.3,6.0,6.8,55%,55
EEWSSUN,Fizz,CS 171.0 (6.6),2.67:1,7.6,5.2,6.1,69%,48
EEWSSUN,Ezreal,CS 194.5 (7.3),2.56:1,5.6,5.3,7.9,56%,43
EEWSSUN,Ryze,CS 205.0 (8.1),2.36:1,4.7,4.8,6.7,50%,42
EEWSSUN,Veigar,CS 200.3 (8.0),3.10:1,6.4,4.3,6.8,66%,38
justbepatient,Kha'Zix,CS 143.2 (5.4),3.84:1,8.6,3.7,5.7,63%,152
justbepatient,Graves,CS 183.6 (7.3),2.98:1,6.8,4.3,6.1,47%,116
