accountId,champId,avg_cs,avg_kda,avg_kill,avg_death,avg_assist,winratio,play_num
208670326,110,9.6,2.91,6.4,4,5.2,58,24
2335652,114,8,1.96,4.7,4.5,4,56,344
2335652,266,7.6,2.87,6.1,4.1,5.6,59,229
2335652,8,7.5,2.26,4.5,4.2,5,54,180
2335652,164,7.3,2.21,5.4,4.5,4.5,57,105
2335652,24,7.7,2.16,4.8,4.2,4.2,62,53
2335652,3,6.9,3.1,3.8,3.6,7.4,52,52
2335652,31,6.9,1.93,4.2,4,3.5,31,45
210461522,64,5.8,3.04,8.2,5,7,55,80
210461522,164,5.6,3.03,8.4,5.3,7.7,61,69
210461522,121,5.2,2.81,8.5,5.3,6.5,52,63
210461522,104,7.1,3.64,7.4,3.9,6.9,64,56
210461522,5,5.7,2.63,6.4,5,6.8,67,54
210461522,59,5.8,4.45,7,3.8,9.8,63,32
210461522,113,5.2,3.73,4.9,4,10,54,26
202784392,13,8.6,3.01,5.1,3.6,5.7,55,125
202784392,7,7.5,3.5,6.9,3.3,4.6,58,45
202784392,268,8.8,3.12,5.1,3.1,4.5,61,38
202784392,142,7.5,2.58,5.2,4.2,5.7,55,29
202784392,164,6,2.41,6.1,5.1,6.1,53,17
202784392,163,8.8,4.18,7,3.6,8.2,64,11
202784392,420,8.2,1.35,3.2,5.7,4.4,56,9
204531622,223,2.3,2.8,1.9,4.1,9.5,55,83
204531622,43,3.7,2.93,2.8,4.1,9.4,50,74
204531622,40,0.8,3.79,2.1,3.7,11.8,65,72
204531622,201,2.3,3.44,1.2,3.6,11.3,60,70
204531622,12,2,2.78,1.8,4.2,9.9,55,67
204531622,89,2.2,3.45,1.5,3.5,10.7,69,52
204531622,79,1.9,3.14,2.3,4.1,10.5,62,52
210160161,142,8,3.49,6,3.6,6.5,54,87
210160161,13,9.1,3.9,6.3,3.2,6.2,56,80
210160161,268,9.4,3.33,5.3,3.3,5.7,55,76
210160161,7,6.8,3.83,7.5,3.7,6.8,61,66
210160161,8,8.1,2.8,5.8,4,5.5,49,49
210160161,163,9,4.09,6.1,3.1,6.7,55,44
210160161,3,7.6,3.27,5.7,4.3,8.2,45,42
203553813,13,8.7,2.8,4.5,3.5,5.3,55,86
203553813,81,7.9,3.26,5.4,3.9,7.2,63,78
203553813,268,7.9,2.1,3.8,4.2,5,48,29
203553813,42,9,3.18,6.4,3.7,5.4,67,27
203553813,51,8.1,2.59,4.7,4.3,6.4,42,26
203553813,18,8,3.21,5.8,3.6,5.7,58,24
203553813,142,7.2,2.27,5.3,4.5,4.8,42,19
205213320,51,8.9,3.11,5.4,3.7,6.2,57,81
205213320,81,8.5,2.97,5.7,4.3,6.9,51,72
