name,champ,cs,kda,kill,death,assist,winratio,play
Klmjg,Jax,CS 174.7 (6.5),3.09:1,5.8,3.7,5.6,57%,261
Klmjg,Lee Sin,CS 140.1 (5.5),3.04:1,5.8,4.1,6.5,54%,195
Klmjg,Kha'Zix,CS 137.0 (5.4),3.11:1,6.7,4.0,5.9,55%,181
Klmjg,Xin Zhao,CS 142.9 (5.6),2.73:1,6.1,4.7,6.7,50%,129
Klmjg,Jarvan IV,CS 144.7 (5.6),3.47:1,4.2,3.7,8.6,50%,107
Klmjg,Cho'Gath,CS 200.9 (7.6),2.24:1,4.1,4.1,5.1,59%,100
Klmjg,Camille,CS 136.5 (5.5),2.29:1,5.6,4.9,5.7,49%,94
뉴트주니어,Tahm Kench,CS 54.8 (2.2),3.29:1,1.9,3.7,10.1,64%,85
뉴트주니어,Taric,CS 56.9 (2.2),3.94:1,1.4,3.1,10.7,57%,70
뉴트주니어,Soraka,CS 11.8 (0.5),3.83:1,1.3,3.3,11.3,66%,56
뉴트주니어,Rakan,CS 12.6 (0.5),3.86:1,1.6,3.5,11.9,55%,47
뉴트주니어,Vladimir,CS 227.6 (8.3),2.47:1,4.3,3.8,5.1,51%,47
뉴트주니어,Alistar,CS 45.2 (1.8),3.13:1,1.9,3.8,9.9,53%,38
뉴트주니어,Braum,CS 57.7 (2.2),3.39:1,1.4,3.4,10.1,46%,37
띵킹왕,Braum,CS 50.9 (2.0),3.10:1,1.0,4.1,11.7,55%,75
띵킹왕,Morgana,CS 19.0 (0.8),4.16:1,2.5,3.7,13.1,72%,50
띵킹왕,Tahm Kench,CS 53.0 (2.0),2.69:1,1.9,4.5,10.2,58%,48
띵킹왕,Thresh,CS 30.3 (1.1),3.15:1,1.7,4.2,11.5,64%,45
띵킹왕,Alistar,CS 41.7 (1.6),2.72:1,1.8,4.8,11.2,54%,39
띵킹왕,Taric,CS 65.8 (2.3),3.07:1,1.7,4.8,13.0,50%,38
띵킹왕,Shen,CS 58.6 (2.2),3.99:1,2.8,4.5,15.1,64%,25
좋은날,Xin Zhao,CS 130.0 (5.5),3.26:1,5.8,4.1,7.6,75%,59
좋은날,Kha'Zix,CS 126.0 (5.2),3.06:1,6.8,3.8,4.8,64%,44
좋은날,Kayn,CS 161.7 (5.8),2.72:1,6.1,4.8,6.9,48%,27
좋은날,Graves,CS 174.4 (6.3),2.62:1,6.6,5.3,7.3,42%,19
좋은날,Camille,CS 140.9 (5.1),3.23:1,6.6,4.8,8.8,76%,17
좋은날,Nidalee,CS 145.6 (6.1),2.64:1,4.6,4.0,5.9,43%,14
좋은날,Rumble,CS 164.4 (7.3),3.81:1,3.8,2.9,7.2,78%,9
엽북이,Nidalee,CS 147.2 (5.9),4.43:1,6.6,3.0,6.5,60%,284
엽북이,Zac,CS 118.1 (4.4),4.61:1,3.7,2.9,9.7,43%,74
엽북이,Kha'Zix,CS 132.9 (4.9),3.73:1,7.4,3.8,6.7,52%,63
엽북이,Jarvan IV,CS 126.4 (4.8),4.36:1,4.5,3.3,9.7,53%,59
엽북이,Leona,CS 49.0 (1.9),4.69:1,1.9,2.9,11.8,70%,43
엽북이,Sejuani,CS 125.1 (4.8),4.15:1,3.9,3.2,9.2,46%,39
엽북이,Camille,CS 146.5 (5.5),3.80:1,8.1,3.8,6.1,56%,32
아이러니,Ezreal,CS 232.0 (9.1),4.03:1,6.0,3.2,6.9,65%,95
아이러니,Kai'Sa,CS 234.7 (9.2),3.12:1,7.8,4.3,5.6,48%,42
아이러니,Xayah,CS 241.7 (9.3),3.63:1,5.9,3.5,6.8,62%,39
아이러니,Tristana,CS 270.6 (9.9),4.23:1,6.7,2.9,5.5,53%,38
아이러니,Caitlyn,CS 241.9 (9.3),3.08:1,4.8,3.7,6.6,56%,36
아이러니,Jhin,CS 212.5 (8.4),2.73:1,5.2,4.6,7.4,46%,35
아이러니,Varus,CS 263.8 (9.6),2.91:1,6.4,4.0,5.2,58%,24
구린내가심하구나,Fiora,CS 203.7 (8.0),1.96:1,4.7,4.5,4.0,56%,344
구린내가심하구나,Aatrox,CS 198.2 (7.6),2.87:1,6.1,4.1,5.6,59%,229
구린내가심하구나,Vladimir,CS 189.8 (7.5),2.26:1,4.5,4.2,5.0,54%,180
구린내가심하구나,Camille,CS 174.7 (7.3),2.21:1,5.4,4.5,4.5,57%,105
구린내가심하구나,Jax,CS 180.9 (7.7),2.16:1,4.8,4.2,4.2,62%,53
구린내가심하구나,Galio,CS 183.9 (6.9),3.10:1,3.8,3.6,7.4,52%,52
구린내가심하구나,Cho'Gath,CS 180.3 (6.9),1.93:1,4.2,4.0,3.5,31%,45
